participant_id,stimulus_type,trial_number,stimulus,old_or_new,response,correct,rt
20250516115415318058_8225,images,1,7,new,u,0,3.2566378116607666
20250516115415318058_8225,images,2,5,new,u,0,0.9865589141845703
20250516115415318058_8225,images,3,1,new,u,0,2.361389636993408
20250516115415318058_8225,images,4,3,old,i,0,5.204504013061523
20250516115415318058_8225,images,5,4,old,i,0,3.3120369911193848
20250516115415318058_8225,images,6,8,new,i,1,1.5427131652832031
20250516115415318058_8225,images,7,9,old,i,0,0.8383808135986328
20250516115415318058_8225,images,8,15,old,i,0,0.47420692443847656
20250516115415318058_8225,images,9,11,old,i,0,0.30321311950683594
20250516115415318058_8225,images,10,14,new,i,1,0.3327617645263672
