participant_id,stimulus_type,trial_number,stimulus,old_or_new,response,correct,rt
20250516122208606488_9227,images,1,4,new,i,1,1.2578020095825195
20250516122208606488_9227,images,2,2,old,i,0,0.8723251819610596
20250516122208606488_9227,images,3,14,old,i,0,0.8595068454742432
20250516122208606488_9227,images,4,11,new,i,1,2.1880319118499756
20250516122208606488_9227,images,5,12,old,i,0,3.228240966796875
20250516122208606488_9227,images,6,15,new,i,1,0.2940390110015869
20250516122208606488_9227,images,7,1,old,i,0,0.4572019577026367
20250516122208606488_9227,images,8,8,old,i,0,0.43336009979248047
20250516122208606488_9227,images,9,3,new,i,1,0.33987903594970703
20250516122208606488_9227,images,10,9,new,i,1,0.3383350372314453
