participant_id,stimulus_type,trial_number,stimulus,old_or_new,response,correct,rt
20250516115609591998_6114,images,1,28,new,u,0,0.3453187942504883
20250516115609591998_6114,images,2,30,new,u,0,0.4495859146118164
20250516115609591998_6114,images,3,26,new,u,0,0.2989981174468994
20250516115609591998_6114,images,4,16,old,u,1,0.348344087600708
20250516115609591998_6114,images,5,23,old,u,1,0.8214290142059326
20250516115609591998_6114,images,6,24,old,u,1,0.3537580966949463
20250516115609591998_6114,images,7,27,old,u,1,1.1093249320983887
20250516115609591998_6114,images,8,18,new,u,0,0.9906611442565918
20250516115609591998_6114,images,9,20,new,u,0,0.9268021583557129
20250516115609591998_6114,images,10,22,old,u,1,0.3025050163269043
