participant_id,stimulus_type,trial_number,stimulus,old_or_new,response,correct,rt
20250516121751056677_7143,images,1,8,old,u,1,1.1886589527130127
20250516121751056677_7143,images,2,14,new,u,0,1.6349999904632568
20250516121751056677_7143,images,3,5,old,u,1,0.3362431526184082
20250516121751056677_7143,images,4,4,new,u,0,0.39986705780029297
20250516121751056677_7143,images,5,2,old,u,1,0.8103899955749512
20250516121751056677_7143,images,6,13,old,u,1,0.43798184394836426
20250516121751056677_7143,images,7,7,old,u,1,0.7926957607269287
20250516121751056677_7143,images,8,1,new,u,0,0.44016003608703613
20250516121751056677_7143,images,9,9,new,u,0,0.3209202289581299
20250516121751056677_7143,images,10,3,new,u,0,0.6929299831390381
