participant_id,stimulus_type,trial_number,stimulus,old_or_new,response,correct,rt
20250516120614266258_4546,images,1,27,new,i,1,3.021267890930176
20250516120614266258_4546,images,2,22,new,i,1,0.31688594818115234
20250516120614266258_4546,images,3,16,new,u,0,0.667565107345581
20250516120614266258_4546,images,4,21,old,i,0,0.583172082901001
20250516120614266258_4546,images,5,17,old,u,1,0.47991180419921875
20250516120614266258_4546,images,6,28,old,u,1,0.5697040557861328
20250516120614266258_4546,images,7,18,new,i,1,0.5413932800292969
20250516120614266258_4546,images,8,29,old,u,1,0.7720069885253906
20250516120614266258_4546,images,9,25,new,i,1,0.5350997447967529
20250516120614266258_4546,images,10,23,old,i,0,0.5848429203033447
