participant_id,stimulus_type,trial_number,stimulus,old_or_new,response,correct,rt
20250516122520276608_4372,images,1,14,new,i,1,10.16799783706665
20250516122520276608_4372,images,2,2,old,i,0,0.5545308589935303
20250516122520276608_4372,images,3,6,new,i,1,0.16219425201416016
20250516122520276608_4372,images,4,9,new,i,1,0.5888359546661377
20250516122520276608_4372,images,5,4,new,i,1,0.36414384841918945
20250516122520276608_4372,images,6,1,old,i,0,0.5502097606658936
20250516122520276608_4372,images,7,3,old,i,0,2.667914867401123
20250516122520276608_4372,images,8,15,new,i,1,0.4069061279296875
20250516122520276608_4372,images,9,7,old,i,0,0.3414499759674072
20250516122520276608_4372,images,10,5,old,i,0,0.3811073303222656
